query_id,domain,query_text,rank,post_id,post_mood,post_content_preview,similarity_score_pct,relevant_annotator_1,relevant_annotator_2,notes
A01,Academic Stress,I am terrified of checking my semester results because I know I will fail,1,324c461b-e284-4336-8048-262495022a85,Anxious,I am terrified about failing my upcoming exams and my parents are going to be so disappointed,84,1.0,1.0,
A01,Academic Stress,I am terrified of checking my semester results because I know I will fail,2,98de497e-8a96-42a2-be18-57d87cb1e9a7,Anxious,I keep panicking every time I think about my engineering semester exams,80,1.0,1.0,
A01,Academic Stress,I am terrified of checking my semester results because I know I will fail,3,48ca6598-8a1a-48d4-b5c6-b85daaade450,Sad,"Feeling hopeless about my results, I studied so hard but I don't think it's enough",74,1.0,1.0,
A01,Academic Stress,I am terrified of checking my semester results because I know I will fail,4,30bae255-fd7f-4714-8011-3f2eb663e9ff,Anxious,The pressure from my placement tests is making me feel completely overwhelmed and anxious,73,1.0,1.0,
A01,Academic Stress,I am terrified of checking my semester results because I know I will fail,5,4340c5f9-01d5-4cd5-9f72-f76b85c8de32,Proud,✅ Completed my goal: study1 hour today Category: study Reflection: happy,60,1.0,1.0,
A02,Academic Stress,My engineering backlog is making me feel like a complete failure with no future,1,98de497e-8a96-42a2-be18-57d87cb1e9a7,Anxious,I keep panicking every time I think about my engineering semester exams,75,1.0,1.0,
A02,Academic Stress,My engineering backlog is making me feel like a complete failure with no future,2,30bae255-fd7f-4714-8011-3f2eb663e9ff,Anxious,The pressure from my placement tests is making me feel completely overwhelmed and anxious,73,1.0,1.0,
A02,Academic Stress,My engineering backlog is making me feel like a complete failure with no future,3,48ca6598-8a1a-48d4-b5c6-b85daaade450,Sad,"Feeling hopeless about my results, I studied so hard but I don't think it's enough",73,1.0,1.0,
A02,Academic Stress,My engineering backlog is making me feel like a complete failure with no future,4,324c461b-e284-4336-8048-262495022a85,Anxious,I am terrified about failing my upcoming exams and my parents are going to be so disappointed,71,1.0,1.0,
A02,Academic Stress,My engineering backlog is making me feel like a complete failure with no future,5,e181808c-2d67-4a4b-ae54-4960b8a0d674,Sad,I feel emotionally heavy lately. It has been on my mind lately.,60,1.0,1.0,
A03,Academic Stress,I cannot concentrate on studying because the placement season is making me panic,1,30bae255-fd7f-4714-8011-3f2eb663e9ff,Anxious,The pressure from my placement tests is making me feel completely overwhelmed and anxious,85,1.0,1.0,
